18.07.2014 15:47:19;5892306917669208064;rechbauer;normalClient;queryDB;
18.07.2014 15:47:21;5892306917669208064;rechbauer;clientEvent;showMovieDetails;movieInternalName
18.07.2014 15:51:55;5892306917669208064;rechbauer;normalClient;playTrailer;trailerRunning
g
18.07.2014 15:51:59;5892306917669208064;rechbauer;normalClient;checkMyCode;corret
18.07.2014 15:52:16;5892326124062507008;rechbauer;normalClient;queryDB;
18.07.2014 15:52:17;5892326124062507008;rechbauer;clientEvent;showMovieDetails;movieInternalName
18.07.2014 15:52:19;5892326124062507008;rechbauer;normalClient;playTrailer;noTrailerRunning
18.07.2014 15:52:22;5892326124062507008;rechbauer;normalClient;checkMyCode;corret
18.07.2014 15:55:39;5892326124062507008;rechbauer;normalClient;queryDB;
18.07.2014 15:55:40;5892326124062507008;rechbauer;clientEvent;showMovieDetails;movieInternalName
18.07.2014 15:55:43;5892326124062507008;rechbauer;clientEvent;showMovieDetails;movieInternalName
18.07.2014 15:55:45;5892326124062507008;rechbauer;normalClient;playTrailer;noTrailerRunning
18.07.2014 15:55:48;5892326124062507008;rechbauer;normalClient;checkMyCode;corret
18.07.2014 15:56:02;5892326124062507008;rechbauer;normalClient;queryDB;
18.07.2014 15:56:03;5892326124062507008;rechbauer;clientEvent;showMovieDetails;movieInternalName
18.07.2014 15:56:05;5892326124062507008;rechbauer;normalClient;playTrailer;noTrailerRunning
18.07.2014 15:56:08;5892326124062507008;rechbauer;normalClient;checkMyCode;corret
18.07.2014 15:56:10;5892326124062507008;rechbauer;randomClientEvent;playTrailer;mittsommernachtstango
